family,genus,Status
Cervidae,Alces,1
Canidae,Alopex,1
Atelidae,Alouatta,1
Sciuridae,Ammospermophilus,1
Antilocapridae,Antilocapra,1
Vespertilionidae,Antrozous,1
Aotidae,Aotus,1
Aplodontidae,Aplodontia,1
Otariidae,Arctocephalus,1
Ursidae,Arctodus,0
Cricetidae,Arvicola,1
Atelidae,Ateles,1
Muridae,Baiomys,1
Procyonidae,Bassaricyon,1
Procyonidae,Bassariscus,1
Bovidae,Bison,1
Soricidae,Blarina,1
Bovidae,Bootherium,0
Bovidae,Bos,1
Leporidae,Brachylagus,1
Phyllostomatidae,Brachyphylla,1
Mustelidae,Brachyprotoma,0
Bradypodidae,Bradypus,1
Dasypodidae,Cabassous,1
Didelphidae,Callorhinus,1
Otariidae,Caluromys,1
Camelidae,Camelops,0
Canidae,Canis,1
Bovidae,Capra,1
Antilocapridae,Capromeryx,0
Murina,Capromys,1
Castoridae,Castor,1
Castoridae,Castoroides,0
Cebidae,Cebus,1
Cervidae,Cervalces,0
Cervidae,Cervus,1
Heteromyidae,Chaetodipus,1
Didelphidae,Chironectes,1
Megalonychidae,Choloepus,1
Muridae,Clethrionomys,1
Erethizontidae,Coendou,1
Talpidae,Condylura,1
Mustelidae,Conepatus,1
Geomyidae,Cratogeomys,1
Soricidae,Cryptotis,1
Cuniculidae,Cuniculus,1
Myrmecophagidae,Cyclopes,1
Sciuridae,Cynomys,1
Phocidae,Cystophora,1
Dasyproctidae,Dasyprocta,1
Dasypodidae,Dasypus,1
Muridae,Dicrostonyx,1
Didelphidae,Didelphis,1
Heteromyidae,Dipodomys,1
Mustelidae,Eira,1
Mustelidae,Enhydra,1
Vespertilionidae,Eptesicus,1
Equidae,Equus,0
Erethizontidae,Erethizon,1
Phocidae,Erignathus,1
Phocidae,Erignatus,1
Bovidae,Euceratherium,0
Otariidae,Eumetopias,1
Molossidae,Eumops,1
Sciuridae,Eutamias,1
Felidae,Felis,1
Geomyidae,Geomys,1
Sciuridae,Glaucomys,1
Mylodontidae,Glossotherium,0
Mustelidae,Gulo,1
Phocidae,Halichoerus,1
Camelidae,Hemiauchenia,0
Muridae,Heteromys,1
Phocidae,Histriophoca,1
Dasypodidae,Holmesina,0
Hominidae,Homo,1
Felidae,Homotherium,0
Caviidae,Hydrochoerus,0
Ateloidea,Insulacebus,0
Felidae,Ischyrosmilus,0
Vespertilionidae,Lasionycteris,1
Vespertilionidae,Lasiurus,1
Muridae,Lemmiscus,1
Muridae,Lemmus,1
Leporidae,Leopardus,1
Leporidae,Lepus,1
Mustelidae,Lontra,1
Felidae,Lynx,1
Phyllostomatidae,Macrotus,1
Mammutidae,Mammut,0
Elephantidae,Mammuthus,0
Didelphidae,Marmosa,1
Sciuridae,Marmota,1
Mustelidae,Martes,1
Cervidae,Mazama,1
Megalonychidae,Megalonyx,0
Mustelidae,Mephitis,1
Didelphidae,Metachirus,1
Heteromyidae,Microdipodops,1
Sciuridae,Microsciurus,1
Muridae,Microtus,1
Muridae,Mictomys,1
Felidae,Miracinonyx,0
Phocidae,Mirounga,1
Molossidae,Molossus,0
Phocidae,Monachus,1
Mormoopidae,Mormoops,1
Muridae,Mus,1
Mustelidae,Mustela,1
Tayassuidae,Mylohyus,0
Myocastoridae,Myocastor,1
Vespertilionidae,Myotis,1
Dipodidae,Napaeozapus,1
Procyonidae,Nasua,1
Natalidae,Natalus,1
Cervidae,Navahoceros,0
Hydrochoeridae,Neochoerus,0
Muridae,Neofiber,1
Phocidae,Neomonachus,1
Muridae,Neotoma,1
Nesophontidae,Nesophontes,0
Megatheriidae,Nothrotheriops,0
Soricidae,Notiosorex,1
Vespertilionidae,Nycticeius,1
Ochotonidae,Ochotona,1
Odobenidae,Odobenus,1
Cervidae,Odocoileus,1
Muridae,Ondatra,1
Muridae,Onychomys,1
Bovidae,Oreamnos,1
Leporidae,Oryctolagus,1
Muridae,Oryzomys,1
Bovidae,Ovibos,1
Bovidae,Ovis,1
Phocidae,Pagophilus,1
Felidae,Panthera,1
Geomyidae,Pappogeomys,1
Talpidae,Parascalops,1
Heteromyidae,Perognathus,1
Muridae,Peromyscus,1
Muridae,Phenacomys,1
Didelphidae,Philander,1
Phocidae,Phoca,1
Phocidae,Phocoena,1
Vespertilionidae,Pipistrellus,1
Tayassuidae,Platygonus,0
Vespertilionidae,Plecotus,1
Procyonidae,Potos,1
Procyonidae,Procyon,1
Octodontidae,Proechimys,1
Mormoopidae,Pteronotus,1
Felidae,Puma,1
Phocidae,Pusa,1
Cervidae,Rangifer,1
Muridae,Rattus,1
Muridae,Reithrodontomys,1
Cebidae,Saguinus,1
Bovidae,Saiga,0
Cervidae,Sangamona,0
Talpidae,Scalopus,1
Talpidae,Scapanus,1
Sciuridae,Sciurus,1
Muridae,Sigmodon,1
Felidae,Smilodon,0
Soricidae,Sorex,1
Sciuridae,Spermophilus,1
Mustelidae,Spilogale,1
Antilocapridae,Stockoceros,0
Tayassuidae,Sus,1
Leporidae,Sylvilagus,1
Muridae,Synaptomys,1
Molossidae,Tadarida,1
Myrmecophagidae,Tamandua,1
Sciuridae,Tamias,1
Sciuridae,Tamiasciurus,1
Tapiridae,Tapirus,1
Mustelidae,Taxidea,1
Tayassuidae,Tayassu,1
Antilocapridae,Tetrameryx,0
Geomyidae,Thomomys,1
Camelidae,Titanotylopus,0
Cervidae,Torontoceros,0
Canidae,Urocyon,1
Ursidae,Ursus,1
Canidae,Vulpes,1
Otariidae,Zalophus,1
Dipodidae,Zapus,1
Cricetidae,Zygodontomys,1
